episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
132,997.5,26.0,0.26804671691687404,997.2080000000001,28.92
133,996.7,34.0,0.2653662497477053,997.2360000000001,28.64
134,996.3,38.0,0.2627125872502282,997.1620000000001,29.38
135,996.9,32.0,0.2600854613777259,997.138,29.62
136,997.1,30.0,0.2574846067639487,997.174,29.26
137,997.9,22.0,0.2549097606963092,997.2020000000001,28.98
138,997.7,24.0,0.2523606630893461,997.214,28.86
139,997.5,26.0,0.24983705645845267,997.2459999999999,28.54
140,997.9,22.0,0.24733868589386815,997.2660000000001,28.34
141,996.7,34.0,0.24486529903492946,997.25,28.5
142,997.5,26.0,0.24241664604458016,997.2619999999998,28.38
143,997.7,24.0,0.23999247958413436,997.2819999999998,28.18
144,997.7,24.0,0.23759255478829303,997.286,28.14
145,996.7,34.0,0.2352166292404101,997.2979999999999,28.02
146,997.3,28.0,0.232864462948006,997.3259999999999,27.74
147,997.1,30.0,0.23053581831852593,997.3140000000001,27.86
148,998.9,12.0,0.22823046013534068,997.3579999999998,27.42
149,997.9,22.0,0.22594815553398728,997.3939999999999,27.06
150,997.5,26.0,0.22368867397864742,997.414,26.86
151,998.1,20.0,0.22145178723886094,997.4299999999998,26.7
152,998.1,20.0,0.21923726936647234,997.45,26.5
153,997.9,22.0,0.2170448966728076,997.47,26.3
154,999.3,8.0,0.21487444770607952,997.488,26.12
155,997.5,26.0,0.21272570322901874,997.48,26.2
156,998.1,20.0,0.21059844619672854,997.484,26.16
157,997.9,22.0,0.20849246173476127,997.4839999999999,26.16
158,997.9,22.0,0.20640753711741366,997.4839999999999,26.16
159,997.5,26.0,0.20434346174623952,997.492,26.08
160,997.3,28.0,0.20230002712877712,997.4920000000001,26.08
161,999.6,5.0,0.20027702685748935,997.5459999999999,25.54
162,998.1,20.0,0.19827425658891445,997.574,25.26
163,998.1,20.0,0.1962915140230253,997.5939999999999,25.06
164,997.5,26.0,0.19432859888279505,997.59,25.1
165,997.7,24.0,0.1923853128939671,997.5979999999998,25.02
166,997.9,22.0,0.19046145976502743,997.614,24.86
167,996.9,32.0,0.18855684516737714,997.6139999999999,24.86
168,998.1,20.0,0.18667127671570335,997.614,24.86
169,997.5,26.0,0.18480456394854633,997.582,25.18
170,997.7,24.0,0.18295651830906087,997.5859999999999,25.14
171,998.9,12.0,0.18112695312597027,997.6139999999999,24.86
172,997.7,24.0,0.17931568359471056,997.63,24.7
173,998.1,20.0,0.17752252675876345,997.6499999999999,24.5
174,998.1,20.0,0.17574730149117582,997.6659999999999,24.34
175,997.9,22.0,0.17398982847626407,997.67,24.3
176,997.9,22.0,0.17224993019150142,997.6740000000001,24.26
177,997.7,24.0,0.1705274308895864,997.698,24.02
178,998.1,20.0,0.16882215658069055,997.722,23.78
179,998.1,20.0,0.16713393501488363,997.7379999999998,23.62
180,997.9,22.0,0.16546259566473479,997.742,23.58
181,997.7,24.0,0.16380796970808745,997.7460000000001,23.54
182,998.1,20.0,0.16216989001100657,997.758,23.42
183,997.9,22.0,0.1605481911108965,997.7820000000002,23.18
184,997.9,22.0,0.15894270919978754,997.814,22.86
